Similarity,Query,Target
-0.0340641215443611,293401535719720,487430195935464
-0.0340641215443611,487430195935464,293401535719720
-0.0107577145099639,105663068593368,201394418710336
-0.0107577145099639,201394418710336,105663068593368
-0.0083721987903118,145564747881430,1084084408786448
-0.0083721987903118,1084084408786448,145564747881430
-0.0063217999413609,671044987673207,1084084408786448
-0.0063217999413609,1084084408786448,671044987673207
-0.0002883672714233,264785108665013,516792579453059
-0.0002883672714233,516792579453059,264785108665013
