Similarity,Query,Target
-0.031948335468769,204868471763380,762363814439257
-0.0316493883728981,876612829865940,283332893498027
-0.0303909629583358,1253944315062416,159131120229826
-0.0278368312865495,473473797101148,265212648658442
-0.0259264633059501,329246372328414,1084084408786448
-0.0257109105587005,464789174835971,725399975755559
-0.0229917466640472,3112671672391258,301094614806427
-0.0228005237877368,301192354802190,302743078049783
-0.0228005237877368,301192354802190,302743078049783
-0.021069835871458,150298857379895,1084084408786448
